Mother Group	Child Goup	Publication Year	Author	Title	Url	Abstract Note	Source code	Source code URL	Data Set Name 1	Data Set URL1	Data Set Nmae 2	Data Set URL 2	Data Set Name 3	Data Set URL 3	Demo	Demo URL	Demo 2	Demo 2 URL
Intelligent Music Production	Level Adjustment	2017	Ward, Dominic	Applications of Loudness Models in Audio Engineering	http://www.open-access.bcu.ac.uk/7228/1/PhD%20Thesis.pdf	This thesis investigates the application of perceptual models to areas of audio engineering, with a particular focus on music production. The goal was to establish efficient and practical tools for the measurement and control of the perceived loudness of musical sounds. Two types of loudness model were investigated: the single-band model and the multiband excitation pattern (EP) model. The heuristic single-band devices were designed to be simple but sufficiently effective for real-world application, whereas the multiband procedures were developed to give a reasonable account of a large body of psychoacoustic findings according to a functional model of the peripheral hearing system. The research addresses the extent to which current models of loudness generalise to musical instruments, and whether can they be successfully employed in music applications. The domain-specific disparity between the two types of model was first tackled by reducing the computational load of state-of-the-art EP models to allow for fast but low-error auditory signal processing. Two elaborate hearing models were analysed and optimised using musical instruments and speech as test stimuli. It was shown that, after significantly reducing the complexity of both procedures, estimates of global loudness, such as peak loudness, as well as the intermediate auditory representations can be preserved with high accuracy. Based on the optimisations, two real-time applications were developed: a binaural loudness meter and an automatic multitrack mixer. This second system was designed to work independently of the loudness measurement procedure, and therefore supports both linear and nonlinear models. This allowed for a single mixing device to be assessed using different loudness metrics and this was demonstrated by evaluating three configurations through subjective assessment. Unexpectedly, when asked to rate both the overall quality of a mix and the degree to which instruments were equally loud, listeners preferred mixes generated using heuristic single-band models over those produced using a multiband procedure. A series of more systematic listening tests were conducted to further investigate this finding. Subjective loudness matches of musical instruments commonly found in western popular music were collected to evaluate the performance of five published models. The results were in accord with the application-based assessment, namely that current EP procedures do not generalise well when estimating the relative loudness of musical sounds which have marked differences in spectral content. Model specific issues were identified relating to the calculation of spectral loudness summation (SLS) and the method used to determine the global-loudness percept of time-varying musical sounds; associated refinements were proposed. It was shown that a new multiband loudness model with a heuristic loudness transformation yields superior performance over existing methods. This supports the idea that a revised model of SLS is needed, and therefore that modification to this stage in existing psychoacoustic procedures is an essential step towards the goal of achieving real-world deployment.			Sound Quality Assessment Material	https://sound.media.mit.edu/resources/mpeg4/audio/sqam/								
Sound Source Separation	Music Audio Source Separation	2017	Luo, Yi; Chen, Zhuo; Hershey, John R.; Le Roux, Jonathan; Mesgarani, Nima	Deep clustering and conventional networks for music separation: Stronger together	http://ieeexplore.ieee.org/document/7952118/	Deep clustering is the ﬁrst method to handle general audio separation scenarios with multiple sources of the same type and an arbitrary number of sources, performing impressively in speaker-independent speech separation tasks. However, little is known about its effectiveness in other challenging situations such as music source separation. Contrary to conventional networks that directly estimate the source signals, deep clustering generates an embedding for each time-frequency bin, and separates sources by clustering the bins in the embedding space. We show that deep clustering outperforms conventional networks on a singing voice separation task, in both matched and mismatched conditions, even though conventional networks have the advantage of end-to-end training for best signal approximation, presumably because its more ﬂexible objective engenders better regularization. Since the strengths of deep clustering and conventional network architectures appear complementary, we explore combining them in a single hybrid network trained via an approach akin to multi-task learning. Remarkably, the combination signiﬁcantly outperforms either of its components.			DSD100	https://sigsep.github.io/datasets/dsd100.html								
Sound Source Separation	Music Audio Source Separation	2017	Han, Yoonchang; Kim, Jaehun; Lee, Kyogu	Deep convolutional neural networks for predominant instrument recognition in polyphonic music	http://arxiv.org/abs/1605.09507	Identifying musical instruments in polyphonic music recordings is a challenging but important problem in the ﬁeld of music information retrieval. It enables music search by instrument, helps recognize musical genres, or can make music transcription easier and more accurate. In this paper, we present a convolutional neural network framework for predominant instrument recognition in real-world polyphonic music. We train our network from ﬁxed-length music excerpts with a single-labeled predominant instrument and estimate an arbitrary number of predominant instruments from an audio signal with a variable length. To obtain the audio-excerpt-wise result, we aggregate multiple outputs from sliding windows over the test audio. In doing so, we investigated two different aggregation methods: one takes the average for each instrument and the other takes the instrument-wise sum followed by normalization. In addition, we conducted extensive experiments on several important factors that affect the performance, including analysis window size, identiﬁcation threshold, and activation functions for neural networks to ﬁnd the optimal set of parameters. Using a dataset of 10k audio excerpts from 11 instruments for evaluation, we found that convolutional neural networks are more robust than conventional methods that exploit spectral features and source separation with support vector machines. Experimental results showed that the proposed convolutional network architecture obtained an F1 measure of 0.602 for micro and 0.503 for macro, respectively, achieving 19.6% and 16.4% in performance improvement compared with other state-of-the-art algorithms.			RWC Music Database	https://staff.aist.go.jp/m.goto/RWC-MDB/								
Intelligent Music Production	General Mixing	2017	Ramırez, Marco A Martınez; Reiss, Joshua D	DEEP LEARNING AND INTELLIGENT AUDIO MIXING	https://www.researchgate.net/publication/330967800_Deep_Learning_and_Intelligent_Audio_Mixing	Mixing multitrack audio is a crucial part of music production. With recent advances in machine learning techniques such as deep learning, it is of great importance to conduct research on the applications of these methods in the ﬁeld of automatic mixing. In this paper, we present a survey of intelligent audio mixing systems and their recent incorporation of deep neural networks. We propose to the community a research trajectory in the ﬁeld of deep learning applied to intelligent music production systems. We conclude with a proof of concept based on stem audio mixing as a contentbased transformation using a deep autoencoder.			The open multitrack testbed	http://multitrack.eecs.qmul.ac.uk/	MedleyDB	https://medleydb.weebly.com/						
Intelligent Music Production	Level Adjustment	2017	Ward, Dominic; Wierstorf, Hagen; Mason, Russell D; Plumbley, Mark D; Hummersone, Chris	ESTIMATING THE LOUDNESS BALANCE OF MUSICAL MIXTURES USING AUDIO SOURCE SEPARATION	https://pdfs.semanticscholar.org/2810/4e5ab0375cb95d866112002952489b291742.pdf	To assist with the development of intelligent mixing systems, it would be useful to be able to extract the loudness balance of sources in an existing musical mixture. The relative-to-mix loudness level of four instrument groups was predicted using the sources extracted by 12 audio source separation algorithms. The predictions were compared with the ground truth loudness data of the original unmixed stems obtained from a recent dataset involving 100 mixed songs. It was found that the best source separation system could predict the relative loudness of each instrument group with an average root-mean-square error of 1.2 LU, with superior performance obtained on vocals.	Source Code	https://code.soundsoftware.ac.uk/hg/wimp17-ward-et-al	DSD100	https://sigsep.github.io/datasets/dsd100.html								
Sound Source Separation	Music Audio Source Separation	2017	Uhlich, Stefan; Porcu, Marcello; Giron, Franck; Enenkl, Michael; Kemp, Thomas; Takahashi, Naoya; Mitsufuji, Yuki	Improving music source separation based on deep neural networks through data augmentation and network blending	http://ieeexplore.ieee.org/document/7952158/	This paper deals with the separation of music into individual instrument tracks which is known to be a challenging problem. We describe two different deep neural network architectures for this task, a feed-forward and a recurrent one, and show that each of them yields themselves state-of-the art results on the SiSEC DSD100 dataset. For the recurrent network, we use data augmentation during training and show that even simple separation networks are prone to overﬁtting if no data augmentation is used. Furthermore, we propose a blending of both neural network systems where we linearly combine their raw outputs and then perform a multi-channel Wiener ﬁlter post-processing. This blending scheme yields the best results that have been reported to-date on the SiSEC DSD100 dataset.			DSD100	https://sigsep.github.io/datasets/dsd100.html								
Intelligent Music Production	Reverb	2017	Benito, Adán L; Reiss, Joshua D	Intelligent Multitrack Reverberation Based on Hinge-Loss Markov Random Fields	http://www.aes.org/e-lib/browse.cfm?elib=18766	We propose a machine learning approach based on hinge-loss Markov random ﬁelds to solve the problem of applying reverb automatically to a multitrack session. With the objective of obtaining perceptually meaningful results, a set of Probabilistic Soft Logic (PSL) rules has been deﬁned based on best practices recommended by experts. These rules have been weighted according to the level of conﬁdence associated with the mentioned practices based on existent evidence. The resulting model has been used to extract parameters for a series of reverb units applied over the different tracks to obtain a reverberated mix of the session.			The open multitrack testbed	http://multitrack.eecs.qmul.ac.uk/					Demo	https://code.soundsoftware.ac.uk/projects/multitrackreverb		
Sound Source Separation	Music Audio Source Separation	2017	Chandna, Pritish; Miron, Marius; Janer, Jordi; Gómez, Emilia	Monoaural Audio Source Separation Using Deep Convolutional Neural Networks	http://link.springer.com/10.1007/978-3-319-53547-0_25	In this paper we introduce a low-latency monaural source separation framework using a Convolutional Neural Network (CNN). We use a CNN to estimate time-frequency soft masks which are applied for source separation. We evaluate the performance of the neural network on a database comprising of musical mixtures of three instruments: voice, drums, bass as well as other instruments which vary from song to song. The proposed architecture is compared to a Multilayer Perceptron (MLP), achieving on-par results and a signiﬁcant improvement in processing time. The algorithm was submitted to source separation evaluation campaigns to test eﬃciency, and achieved competitive results.	Source Code	https://github.com/MTG/DeepConvSep	DSD100	https://sigsep.github.io/datasets/dsd100.html					Demo	https://www.youtube.com/watch?v=71WwHyDfE		
Music Generation and Synthesis	Generation	2017	Engel, Jesse; Resnick, Cinjon; Roberts, Adam; Dieleman, Sander; Eck, Douglas; Simonyan, Karen; Norouzi, Mohammad	Neural Audio Synthesis of Musical Notes with WaveNet Autoencoders	http://arxiv.org/abs/1704.01279	Generative models in vision have seen rapid progress due to algorithmic improvements and the availability of high-quality image datasets. In this paper, we oﬀer contributions in both these areas to enable similar progress in audio modeling. First, we detail a powerful new WaveNet-style autoencoder model that conditions an autoregressive decoder on temporal codes learned from the raw audio waveform. Second, we introduce NSynth, a large-scale and high-quality dataset of musical notes that is an order of magnitude larger than comparable public datasets. Using NSynth, we demonstrate improved qualitative and quantitative performance of the WaveNet autoencoder over a well-tuned spectral autoencoder baseline. Finally, we show that the model learns a manifold of embeddings that allows for morphing between instruments, meaningfully interpolating in timbre to create new types of sounds that are realistic and expressive.			The NSynth Dataset	https://magenta.tensorflow.org/datasets/nsynth								
Music Information Retrieval	Feature	2017	Shuvaev, Sergey; Giaffar, Hamza; Koulakov, Alexei A	Representations of Sound in Deep Learning of Audio Features from Music	https://arxiv.org/abs/1712.02898	The work of a single musician, group or composer can vary widely in terms of musical style. Indeed, different stylistic elements, from performance medium and rhythm to harmony and texture, are typically exploited and developed across an artist’s lifetime. Yet, there is often a discernable character to the work of, for instance, individual composers at the perceptual level – an experienced listener can often pick up on subtle clues in the music to identify the composer or performer. Here we suggest that a convolutional network may learn these subtle clues or features given an appropriate representation of the music. In this paper, we apply a deep convolutional neural network to a large audio dataset and empirically evaluate its performance on audio classification tasks. Our trained network demonstrates accurate performance on such classification tasks when presented with ~ 5 s examples of music obtained by simple transformations of the raw audio waveform. A particularly interesting example is the spectral representation of music obtained by application of a logarithmically spaced filter bank, mirroring the early stages of auditory signal transduction in mammals. The most successful representation of music to facilitate discrimination was obtained via a random matrix transform (RMT). Networks based on logarithmic filter banks and RMT were able to correctly guess the one composer out of 31 possibilities in 68% and 84% of cases respectively.												
Sound Source Separation	Music Audio Source Separation	2017	Grais, Emad M.; Plumbley, Mark D.	Single Channel Audio Source Separation using Convolutional Denoising Autoencoders	http://arxiv.org/abs/1703.08019	Deep learning techniques have been used recently to tackle the audio source separation problem. In this work, we propose to use deep fully convolutional denoising autoencoders (CDAEs) for monaural audio source separation. We use as many CDAEs as the number of sources to be separated from the mixed signal. Each CDAE is trained to separate one source and treats the other sources as background noise. The main idea is to allow each CDAE to learn suitable spectral-temporal ﬁlters and features to its corresponding source. Our experimental results show that CDAEs perform source separation slightly better than the deep feedforward neural networks (FNNs) even with fewer parameters than FNNs.			SiSEC-2015-MUS-task dataset	https://sisec.inria.fr/sisec-2015/								
Intelligent Music Production	Summary	2017	Stables, Ryan	Ten Years of Automatic Mixing	https://www.researchgate.net/publication/320196585_Ten_Years_of_Automatic_Mixing	Reﬂecting on a decade of Automatic Mixing systems for multitrack music processing, this paper positions the topic in the wider ﬁeld of Intelligent Music Production, and seeks to motivate the existing and continued work in this area. Tendencies such as the introduction of machine learning and the increasing complexity of automated systems become apparent from examining a short history of relevant work, and several categories of applications are identiﬁed. Based on this systematic review, we highlight some promising directions for future research for the next ten years of Automatic Mixing.												
Data Set	Data Set	2017	Man, Brecht De; Reiss, Joshua D	The Mix Evaluation Dataset	http://www.dafx17.eca.ed.ac.uk/papers/DAFx17_paper_49.pdf	Research on perception of music production practices is mainly concerned with the emulation of sound engineering tasks through lab-based experiments and custom software, sometimes with unskilled subjects. This can improve the level of control, but the validity, transferability, and relevance of the results may suffer from this artiﬁcial context. This paper presents a dataset consisting of mixes gathered in a real-life, ecologically valid setting, and perceptual evaluation thereof, which can be used to expand knowledge on the mixing process. With 180 mixes including parameter settings, close to 5000 preference ratings and free-form descriptions, and a diverse range of contributors from ﬁve different countries, the data offers many opportunities for music production analysis, some of which are explored here. In particular, more experienced subjects were found to be more negative and more speciﬁc in their assessments of mixes, and to increasingly agree with each other.			The Mix Evaluation Dataset	http://c4dm.eecs.qmul.ac.uk/multitrack/MixEvaluation/								
Intelligent Music Production	General Mixing	2017	Everardo, Flavio	Towards an Automated Multitrack Mixing Tool using Answer Set Programming	http://smc2017.aalto.fi/media/materials/proceedings/SMC17_p422.pdf	The use of Answer Set Programming (ASP) inside musical domains has been demonstrated specially in composition, but so far it hasn’t overtaken engineering areas in studio-music (post) production such as multitrack mixing for stereo imaging. This article aims to demonstrate the use of this declarative approach to achieve a well-balanced mix. A knowledge base is compiled with rules and constraints extracted from the literature about what professional music producers and audio engineers suggest creating a good mix. More specially, this work can deliver either a mixed audio ﬁle (mixdown) as well as a mixing plan in (human-readable) text format, to serve as a starting point for producers and audio engineers to apply this methodology into their productions. Finally this article presents a decibel (dB) and a panning scale to explain how the mixes are generated.									Demo	https://soundcloud.com/flavioeverardo-research/sets		
Music Information Retrieval	Chord Detection	2016	Korzeniowski, Filip; Widmer, Gerhard	A Fully Convolutional Deep Auditory Model for Musical Chord Recognition	http://arxiv.org/abs/1612.05082	Chord recognition systems depend on robust feature extraction pipelines. While these pipelines are traditionally hand-crafted, recent advances in end-to-end machine learning have begun to inspire researchers to explore data-driven methods for such tasks. In this paper, we present a chord recognition system that uses a fully convolutional deep auditory model for feature extraction. The extracted features are processed by a Conditional Random Field that decodes the ﬁnal chord sequence. Both processing stages are trained automatically and do not require expert knowledge for optimising parameters. We show that the learned auditory system extracts musically interpretable features, and that the proposed chord recognition system achieves results on par or better than state-of-the-art algorithms.			Isophonic	http://isophonics.net/datasets	RWC Music Database	https://staff.aist.go.jp/m.goto/RWC-MDB/			Demo	https://www.music-ir.org/mirex/wiki/MIREX_HOME		
Sound Correction	Denosing	2016	Lusterman, Ethan	A Partitioned Autoencoder for Audio De-Noising	http://ee.cooper.edu/~keene/assets/lusterman_thesis.pdf	In this thesis, we introduce a modified partitioned autoencoder for de-noising audio without access to clean data for training. Traditional linear timeinvariant (LTI) systems such as the Wiener filter rely on power spectral density (PSD) estimates of desired signals and noise signals, which require some knowledge of the ground truth signals. One nonlinear approach in this area includes the use of de-noising autoencoders, which are one form of artificial neural networks (ANN). The nonlinearity of neural networks allow for more complex models to be made than LTI models. However, since de-noising autoencoders also require access to clean data and knowledge of the noise corruption process, we build on existing literature for a semi-supervised partitioned autoencoder that can perform de-noising without the clean signals during training. We compare existing semi-supervised de-noising systems as well as canonical supervised de-noising autoencoders. We show that for moderate levels of noise, our autoencoder outperforms existing schemes.												
Intelligent Music Production	Equalization	2016	Välimäki, Vesa; Reiss, Joshua	All About Audio Equalization: Solutions and Frontiers	http://www.mdpi.com/2076-3417/6/5/129	Audio equalization is a vast and active research area. The extent of research means that one often cannot identify the preferred technique for a particular problem. This review paper bridges those gaps, systemically providing a deep understanding of the problems and approaches in audio equalization, their relative merits and applications. Digital signal processing techniques for modifying the spectral balance in audio signals and applications of these techniques are reviewed, ranging from classic equalizers to emerging designs based on new advances in signal processing and machine learning. Emphasis is placed on putting the range of approaches within a common mathematical and conceptual framework. The application areas discussed herein are diverse, and include well-deﬁned, solvable problems of ﬁlter design subject to constraints, as well as newly emerging challenges that touch on problems in semantics, perception and human computer interaction. Case studies are given in order to illustrate key concepts and how they are applied in practice. We also recommend preferred signal processing approaches for important audio equalization problems. Finally, we discuss current challenges and the uncharted frontiers in this ﬁeld. The source code for methods discussed in this paper is made available at https://code.soundsoftware.ac.uk/projects/allaboutaudioeq.	Source Code	https://code.soundsoftware.ac.uk/projects/allaboutaudioeq	SocialEQ	http://www.markcartwright.com/research/socialeq								
Sound Correction	Clipping	2016	Dukes, Bob	An Efficient Algorithm for Clipping Detection and Declipping Audio	http://www.aes.org/e-lib/browse.cfm?elib=18486	We present an algorithm for end to end declipping, which includes clipping detection and the replacement of clipped samples. To detect regions of clipping, we analyze the signal’s amplitude histogram and the shape of the signal in the time-domain. The sample replacement algorithm uses a two-pass approach: short regions of clipping are replaced in the time-domain and long regions of clipping are replaced in the frequency-domain. The algorithm is robust against different types of clipping and is efficient compared to existing approaches. The algorithm has been implemented in an open source JavaScript client-side web application. Clipping detection is shown to give an f-measure of 0.92 and is robust to the clipping level.			Music Audio Benchmark Data Set	https://www-ai.cs.tu-dortmund.de/audio.html								
Intelligent Music Production	Evolutional computation	2016	Wilson, Alex; Fazenda, Bruno	AN EVOLUTIONARY COMPUTATION APPROACH TO INTELLIGENT MUSIC PRODUCTION INFORMED BY EXPERIMENTALLY GATHERED DOMAIN KNOWLEDGE	https://usir.salford.ac.uk/id/eprint/44278/1/Wilson.pdf	A novel methodology for intelligent music production has been developed using evolutionary computation. Mixes are generated by exploration of a “mix-space”, which consists of a series of inter-channel volume ratios, allowing efﬁcient generation of random mixes. An interactive genetic algorithm was used, allowing the user to rate mixes and guide the system towards their ideal mix. Currently, ﬁtness evaluation is subjective but can be aided by speciﬁc domain knowledge obtained from a large-scale study of real mixes.												
Intelligent Music Production	Reverb	2016	Chourdakis, Emmanouil Theofanis; Reiss, Joshua D	Automatic Control of a Digital Reverberation Effect using Hybrid Models	http://www.aes.org/e-lib/browse.cfm?elib=18090	Adaptive Digital Audio Effects are sound transformations controlled by features extracted from the sound itself. Artificial reverberation is used by sound engineers in the mixing process for a variety of technical and artistic reasons, including to give the perception that it was captured in a closed space. We propose a design of an adaptive digital audio effect for artificial reverberation that allows it to learn from the user in a supervised way. We perform feature selection and dimensionality reduction on features extracted from our training data set. Then a user provides examples of reverberation parameters for the training data. Finally, we train a set of classifiers and compare them using 10-fold cross validation to compare classification success ratios and mean squared errors. Tracks from the Open Multitrack Testbed are used in order to train and test our models.			The open multitrack testbed	http://multitrack.eecs.qmul.ac.uk/								
Intelligent Music Production	Level Adjustment	2016	Ward, Dominic; Reiss, Joshua D	LOUDNESS ALGORITHMS FOR AUTOMATIC MIXING	https://pdfs.semanticscholar.org/75c8/bdb6432ee547d3a167badaa128151c242366.pdf	Accurate loudness measurement is imperative for intelligent music mixing systems, where one of the most fundamental tasks is to automate the fader balance. The goal of this short paper is to highlight state-of-the-art loudness algorithms to the automatic mixing community, and give insight into their differences when applied to multi-track audio.	Source Code	https://code.soundsoftware.ac.uk/hg/wimp16-ward-reiss										
Intelligent Music Production	Tool	2016	Ward, Dominic	Loudness meters for Digital Audio Workstations	https://github.com/deeuu/LoudnessMeters		Source Code	https://github.com/deeuu/LoudnessMeters										
Sound Correction	Phase Correction	2016	Magron, Paul; Badeau, Roland; David, Bertrand	Model-based STFT phase recovery for audio source separation	http://arxiv.org/abs/1608.01953	This paper introduces a novel technique for reconstructing the phase of modiﬁed spectrograms of audio signals. From the analysis of mixtures of sinusoids we obtain relationships between phases of successive time frames in the Time-Frequency (TF) domain. Instantaneous frequencies are estimated locally to encompass the class of non-stationary signals such as vibratos. This technique ensures the horizontal coherence (over time) of the partials. The method is tested on a variety of data and demonstrates better performance than traditional consistencybased approaches. We also introduce an audio restoration framework and obtain results that compete with other state-of-theart methods. Finally, we apply this phase recovery method to an audio source separation task where the spectrograms of the isolated components are known. We propose to use the phase unwrapping estimate to initialize a source separation iterative procedure. Experiments conducted on realistic music pieces demonstrate the effectiveness of such a method for various music signal processing tasks.			DSD100	https://sigsep.github.io/datasets/dsd100.html	MAPS - A piano database for multipitch estimation and automatic transcription of music,	http://www.tsi.telecom-paristech.fr/aao/en/2010/07/08/maps-database-a-piano-database-for-multipitch-estimation-and-automatic-transcription-of-music/						
Sound Source Separation	Music Audio Source Separation	2016	Magron, Paul; Badeau, Roland; David, Bertrand	Model-based STFT phase recovery for audio source separation	http://arxiv.org/abs/1608.01953	This paper introduces a novel technique for reconstructing the phase of modiﬁed spectrograms of audio signals. From the analysis of mixtures of sinusoids we obtain relationships between phases of successive time frames in the Time-Frequency (TF) domain. Instantaneous frequencies are estimated locally to encompass the class of non-stationary signals such as vibratos. This technique ensures the horizontal coherence (over time) of the partials. The method is tested on a variety of data and demonstrates better performance than traditional consistencybased approaches. We also introduce an audio restoration framework and obtain results that compete with other state-of-theart methods. Finally, we apply this phase recovery method to an audio source separation task where the spectrograms of the isolated components are known. We propose to use the phase unwrapping estimate to initialize a source separation iterative procedure. Experiments conducted on realistic music pieces demonstrate the effectiveness of such a method for various music signal processing tasks.			DSD100	https://sigsep.github.io/datasets/dsd100.html	MAPS - A piano database for multipitch estimation and automatic transcription of music,	http://www.tsi.telecom-paristech.fr/aao/en/2010/07/08/maps-database-a-piano-database-for-multipitch-estimation-and-automatic-transcription-of-music/						
Intelligent Music Production	Reverb	2016	Valimaki, Vesa; Parker, Julian D; Savioja, Lauri; Smith, Julius O; Abel, Jonathan S	More Than Fifty Years of Artiﬁcial Reverberation	http://www.aes.org/e-lib/browse.cfm?elib=18061	Recent research related to artificial reverberation is reviewed. The focus is on research published during the past few years after the writing of an overview article on the same topic by the same authors. Advances in delay networks, convolution-based techniques, physical room models, and virtual analog reverberation models are described. Many new developments are related to the feedback delay network, which is still the most popular parametric reverberation method. Additionally, three specific methods are discussed in detail: velvet-noise reverberation methods, scattering delay networks, and a modal architecture for artificial reverberation. It becomes evident that research on artificial reverberation and related topics continues to be as active as ever.												
Intelligent Music Production	General Mixing	2016	Roma, Gerard; Grais, Emad M; Simpson, Andrew J R; Plumbley, Mark D	Music remixing and upmixing using source separation	https://www.researchgate.net/publication/308058809_Music_remixing_and_upmixing_using_source_separation	Current research on audio source separation provides tools to estimate the signals contributed by different instruments in polyphonic music mixtures. Such tools can be already incorporated in music production and post-production workﬂows. In this paper, we describe recent experiments where audio source separation is applied to remixing and upmixing existing mono and stereo music content.			DSD100	https://sigsep.github.io/datasets/dsd100.html								
Intelligent Music Production	General Mixing	2016	Mimilakis, Stylianos Ioannis; Cano, Estefanıa; Abeßer, Jakob; Schuller, Gerald	NEW SONORITIES FOR JAZZ RECORDINGS: SEPARATION AND MIXING USING DEEP NEURAL NETWORKS	https://pdfs.semanticscholar.org/d81b/9143a4574aa11bb9b2f40c56e7d343449855.pdf	The audio mixing process is an art that has proven to be extremely hard to model: What makes a certain mix better than another one? How can the mixing processing chain be automatically optimized to obtain better results in a more efﬁcient manner? Over the last years, the scientiﬁc community has exploited methods from signal processing, music information retrieval, machine learning, and more recently, deep learning techniques to address these issues. In this work, a novel system based on deep neural networks (DNNs) is presented. It replaces the previously proposed steps of pitch-informed source separation and panoramabased remixing by an ensemble of trained DNNs.	Source Code	https://github.com/Js-Mim/aes_wimp	Jazzomat dataset	https://jazzomat.hfm-weimar.de/dbformat/dbcontent.html					Demo	https://js-mim.github.io/aes_wimp/		
Sound Source Separation	Summary	2016	Sell, Connor; Kepner, Jeremy	Non-Negative Matrix Factorization Test Cases	http://arxiv.org/abs/1701.00016	Non-negative matrix factorization (NMF) is a problem with many applications, ranging from facial recognition to document clustering. However, due to the variety of algorithms that solve NMF, the randomness involved in these algorithms, and the somewhat subjective nature of the problem, there is no clear “correct answer” to any particular NMF problem, and as a result, it can be hard to test new algorithms. This paper suggests some test cases for NMF algorithms derived from matrices with enumerable exact non-negative factorizations and perturbations of these matrices. Three algorithms using widely divergent approaches to NMF all give similar solutions over these test cases, suggesting that these test cases could be used as test cases for implementations of these existing NMF algorithms as well as potentially new NMF algorithms. This paper also describes how the proposed test cases could be used in practice.												
Music Generation and Synthesis	Generation	2016	Hadjeres, Gaëtan; Sakellariou, Jason; Pachet, François	Style Imitation and Chord Invention in Polyphonic Music with Exponential Families	http://arxiv.org/abs/1609.05152	Modeling polyphonic music is a particularly challenging task because of the intricate interplay between melody and harmony. A good model should satisfy three requirements: statistical accuracy (capturing faithfully the statistics of correlations at various ranges, horizontally and vertically), ﬂexibility (coping with arbitrary user constraints), and generalization capacity (inventing new material, while staying in the style of the training corpus). Models proposed so far fail on at least one of these requirements. We propose a statistical model of polyphonic music, based on the maximum entropy principle. This model is able to learn and reproduce pairwise statistics between neighboring note events in a given corpus. The model is also able to invent new chords and to harmonize unknown melodies. We evaluate the invention capacity of the model by assessing the amount of cited, re-discovered, and invented chords on a corpus of Bach chorales. We discuss how the model enables the user to specify and enforce user-deﬁned constraints, which makes it useful for style-based, interactive music generation.									Demo	https://flowmachines.jimdo.com/		
Music Information Retrieval	Feature	2016	Wilson, Alex; Fazenda, Bruno	Variation in Multitrack Mixes: Analysis of Low-level Audio Signal Features	http://www.aes.org/e-lib/browse.cfm?elib=18332	To further the development of intelligent music production tools towards generating mixes that would realistically be created by a human mix-engineer, it is important to understand what kind of mixes can be created, and are typically created, by human mix-engineers. This paper presents an analysis of 1501 mixes, over 10 different songs, created by mix-engineers. The primary dimensions of variation in the full dataset of mixes were “amplitude,” “brightness,” “bass,” and “width” as determined by feature-extraction and subsequent principal component analysis. The distribution of representative features approximated a normal distribution and this is then used to obtain general trends and tolerance bounds for these features. The results presented here are useful as parametric guidance for intelligent music production systems.			Cambridge Multitracks	http://www.cambridge-mt.com								
Music Generation and Synthesis	Generation	2016	Oord, Aaron van den; Dieleman, Sander; Zen, Heiga; Simonyan, Karen; Vinyals, Oriol; Graves, Alex; Kalchbrenner, Nal; Senior, Andrew; Kavukcuoglu, Koray	WaveNet: A Generative Model for Raw Audio	http://arxiv.org/abs/1609.03499	This paper introduces WaveNet, a deep neural network for generating raw audio waveforms. The model is fully probabilistic and autoregressive, with the predictive distribution for each audio sample conditioned on all previous ones; nonetheless we show that it can be efﬁciently trained on data with tens of thousands of samples per second of audio. When applied to text-to-speech, it yields state-ofthe-art performance, with human listeners rating it as signiﬁcantly more natural sounding than the best parametric and concatenative systems for both English and Mandarin. A single WaveNet can capture the characteristics of many different speakers with equal ﬁdelity, and can switch between them by conditioning on the speaker identity. When trained to model music, we ﬁnd that it generates novel and often highly realistic musical fragments. We also show that it can be employed as a discriminative model, returning promising results for phoneme recognition.	Source Code	https://www.deepmind.com/blog/article/wavenet-generative-model-raw-audio	The MagTagATune dataset	http://mirg.city.ac.uk/codeapps/the-magtagatune-dataset					Demo	https://www.deepmind.com/blog/article/wavenet-generative-model-raw-audio		
Others	Others	2015	Gatys, Leon A.; Ecker, Alexander S.; Bethge, Matthias	A Neural Algorithm of Artistic Style	http://arxiv.org/abs/1508.06576	In fine art, especially painting, humans have mastered the skill to create unique visual experiences through composing a complex interplay between the content and style of an image. Thus far the algorithmic basis of this process is unknown and there exists no artificial system with similar capabilities. However, in other key areas of visual perception such as object and face recognition near-human performance was recently demonstrated by a class of biologically inspired vision models called Deep Neural Networks. Here we introduce an artificial system based on a Deep Neural Network that creates artistic images of high perceptual quality. The system uses neural representations to separate and recombine content and style of arbitrary images, providing a neural algorithm for the creation of artistic images. Moreover, in light of the striking similarities between performance-optimised artificial neural networks and biological vision, our work offers a path forward to an algorithmic understanding of how humans create and perceive artistic imagery.												
